subject,exp_type,experiment,scs
R1081J,intracranial,FR1,0.5054166666666666
R1083J,intracranial,FR1,0.5114864821267261
R1084T,intracranial,FR1,0.5509920634920635
R1086M,intracranial,FR1,0.5500188964474678
R1089P,intracranial,FR1,0.6373015873015874
R1092J,intracranial,FR1,0.5152420634920635
R1093J,intracranial,FR1,0.48454404736319634
R1096E,intracranial,FR1,0.5052852488732118
R1098D,intracranial,FR1,0.5301182459515792
R1100D,intracranial,FR1,0.525
R1101T,intracranial,FR1,0.5693952087007642
R1102P,intracranial,FR1,0.5130673906989697
R1104D,intracranial,FR1,0.5295143202208419
R1105E,intracranial,FR1,0.5615085978835979
R1106M,intracranial,FR1,0.6016269841269841
R1108J,intracranial,FR1,0.474297640732067
R1111M,intracranial,FR1,0.4893995850655076
R1112M,intracranial,FR1,0.5152071308321309
R1113T,intracranial,FR1,0.5134318048206937
R1114C,intracranial,FR1,0.49782913165266107
R1115T,intracranial,FR1,0.48120842781557066
R1118N,intracranial,FR1,0.6460241147741148
R1120E,intracranial,FR1,0.5041772205336035
R1121M,intracranial,FR1,0.42307728647014364
R1122E,intracranial,FR1,0.539798719816481
R1123C,intracranial,FR1,0.504806265324558
R1124J,intracranial,FR1,0.5022441762198706
R1125T,intracranial,FR1,0.4685209680580051
R1127P,intracranial,FR1,0.5485136452241716
R1128E,intracranial,FR1,0.5272820483749056
R1129D,intracranial,FR1,0.534006734006734
R1130M,intracranial,FR1,0.5818016474266474
R1131M,intracranial,FR1,0.5806014469279775
R1135E,intracranial,FR1,0.4971560846560847
R1136N,intracranial,FR1,0.39289572310405646
R1137E,intracranial,FR1,0.508993487993488
R1138T,intracranial,FR1,0.5570767195767197
R1142N,intracranial,FR1,0.6202932098765432
R1145J,intracranial,FR1,0.45791078777189886
R1146E,intracranial,FR1,0.4018084490740741
R1147P,intracranial,FR1,0.45935592185592183
R1148P,intracranial,FR1,0.48664021164021165
R1149N,intracranial,FR1,0.5240701836290071
R1150J,intracranial,FR1,0.4353788737717309
R1151E,intracranial,FR1,0.5205670426065163
R1153T,intracranial,FR1,0.4658286396996074
R1154D,intracranial,FR1,0.5491498316498317
R1155D,intracranial,FR1,0.37758597883597883
R1156D,intracranial,FR1,0.5433880568356375
R1158T,intracranial,FR1,0.5054580498866214
R1159P,intracranial,FR1,0.4828604497354497
R1161E,intracranial,FR1,0.5044960506424792
R1162N,intracranial,FR1,0.6193373645754598
R1163T,intracranial,FR1,0.44967320261437904
R1164E,intracranial,FR1,0.47349950396825397
R1166D,intracranial,FR1,0.5660235658590921
R1167M,intracranial,FR1,0.4984611048122953
R1168T,intracranial,FR1,0.5382703545763248
R1169P,intracranial,FR1,0.5336061507936508
R1170J,intracranial,FR1,0.5250504734057365
R1171M,intracranial,FR1,0.4988702501202501
R1172E,intracranial,FR1,0.5387552609427609
R1173J,intracranial,FR1,0.5190221324640968
R1174T,intracranial,FR1,0.5136038674729151
R1175N,intracranial,FR1,0.47593984962406016
R1176M,intracranial,FR1,0.542329971340388
R1177M,intracranial,FR1,0.5257195311074622
R1178P,intracranial,FR1,0.4051173941798942
R1184M,intracranial,FR1,0.36737103174603175
R1185N,intracranial,FR1,0.441792328042328
R1186P,intracranial,FR1,0.7777777777777778
R1187P,intracranial,FR1,0.48215488215488217
R1189M,intracranial,FR1,0.47229114176534814
R1191J,intracranial,FR1,0.5284615929705215
R1193T,intracranial,FR1,0.5483144368858655
R1195E,intracranial,FR1,0.5349612475198413
R1196N,intracranial,FR1,0.5431064507031769
R1198M,intracranial,FR1,0.5810185185185185
R1200T,intracranial,FR1,0.5193364384360147
R1201P,intracranial,FR1,0.5597000572000571
R1202M,intracranial,FR1,0.5155680482069371
R1203T,intracranial,FR1,0.5889430014430015
R1204T,intracranial,FR1,0.5186446886446887
R1207J,intracranial,FR1,0.5235441718775052
R1212P,intracranial,FR1,0.49707600457600454
R1214M,intracranial,FR1,0.5194444444444445
R1215M,intracranial,FR1,0.48236526091918247
R1216E,intracranial,FR1,0.5510549590206453
R1217T,intracranial,FR1,0.5176736111111111
R1221P,intracranial,FR1,0.4249723947550034
R1222M,intracranial,FR1,0.5319731040564374
R1223E,intracranial,FR1,0.6469772126022126
R1226D,intracranial,FR1,0.4196033879501621
R1228M,intracranial,FR1,0.527968931475029
R1229M,intracranial,FR1,0.6057987083722378
R1230J,intracranial,FR1,0.4990805265195509
R1231M,intracranial,FR1,0.5154337393872277
R1232N,intracranial,FR1,0.5578221844293273
R1234D,intracranial,FR1,0.5006637953284294
R1236J,intracranial,FR1,0.5779365885920764
R1240T,intracranial,FR1,0.5710742630385487
R1241J,intracranial,FR1,0.4411111111111111
R1243T,intracranial,FR1,0.5140024250440917
R1247P,intracranial,FR1,0.5251491101491101
R1250N,intracranial,FR1,0.5514020030234316
R1251M,intracranial,FR1,0.40565079365079365
R1260D,intracranial,FR1,0.4735702614379085
R1264P,intracranial,FR1,0.5929657974300832
R1268T,intracranial,FR1,0.5865756003256004
R1274T,intracranial,FR1,0.5332175925925926
R1275D,intracranial,FR1,0.5730596405228758
R1277J,intracranial,FR1,0.5691398635477584
R1281E,intracranial,FR1,0.5516911221853082
R1283T,intracranial,FR1,0.5699983113812901
R1286J,intracranial,FR1,0.47223440545808965
R1288P,intracranial,FR1,0.6935185185185185
R1290M,intracranial,FR1,0.580968285462333
R1291M,intracranial,FR1,0.539808201058201
R1292E,intracranial,FR1,0.4961834990406419
R1293P,intracranial,FR1,0.5301817208364827
R1297T,intracranial,FR1,0.6289681752330561
R1298E,intracranial,FR1,0.4855346700083542
R1299T,intracranial,FR1,0.5196213624338625
R1302M,intracranial,FR1,0.5382369614512471
R1304N,intracranial,FR1,0.2571428571428572
R1306E,intracranial,FR1,0.6296296296296297
R1308T,intracranial,FR1,0.5171116105172228
R1309M,intracranial,FR1,0.4777546296296296
R1310J,intracranial,FR1,0.48162477954144617
R1311T,intracranial,FR1,0.5233912538079205
R1313J,intracranial,FR1,0.537875939849624
R1315T,intracranial,FR1,0.4644103925353925
R1316T,intracranial,FR1,0.4925903395546253
R1317D,intracranial,FR1,0.43897569444444445
R1318N,intracranial,FR1,0.5207840891912321
R1320D,intracranial,FR1,0.20462962962962963
R1321M,intracranial,FR1,0.4518293479007765
R1323T,intracranial,FR1,0.5017639029607114
R1324M,intracranial,FR1,0.5260802469135802
R1325C,intracranial,FR1,0.6055555555555556
R1328E,intracranial,FR1,0.5014629767896318
R1329T,intracranial,FR1,0.5202386952715901
R1330D,intracranial,FR1,0.5655399659863946
R1332M,intracranial,FR1,0.5239741928517438
R1334T,intracranial,FR1,0.5291197344322345
R1336T,intracranial,FR1,0.4978790885040885
R1337E,intracranial,FR1,0.5145818302068302
R1338T,intracranial,FR1,0.4922346716464363
R1339D,intracranial,FR1,0.4750953984287318
R1341T,intracranial,FR1,0.5013850873164599
R1342M,intracranial,FR1,0.5069805194805195
R1345D,intracranial,FR1,0.5138844347262714
R1346T,intracranial,FR1,0.560885984023239
R1347D,intracranial,FR1,0.38661904761904764
R1349T,intracranial,FR1,0.5597493071302595
R1350D,intracranial,FR1,0.49715374746389784
R1351M,intracranial,FR1,0.605896164021164
R1354E,intracranial,FR1,0.5143037977464888
R1355T,intracranial,FR1,0.5115963955026455
R1357M,intracranial,FR1,0.5424201625094482
R1358T,intracranial,FR1,0.5301388888888889
R1361C,intracranial,FR1,0.4798459939531368
R1363T,intracranial,FR1,0.4427777777777778
R1364C,intracranial,FR1,0.5289159213067943
R1367D,intracranial,FR1,0.425182850918145
R1368T,intracranial,FR1,0.38098544973544973
R1373T,intracranial,FR1,0.4330246913580247
R1374T,intracranial,FR1,0.6310901924872513
R1375C,intracranial,FR1,0.5551917989417989
R1376D,intracranial,FR1,0.7922222222222223
R1377M,intracranial,FR1,0.5139391416288738
R1378T,intracranial,FR1,0.4862969427537096
R1379E,intracranial,FR1,0.5162037037037037
R1380D,intracranial,FR1,0.5461294063079777
R1381T,intracranial,FR1,0.45721726190476186
R1382T,intracranial,FR1,0.49311507936507937
R1383J,intracranial,FR1,0.5399305555555556
R1384J,intracranial,FR1,0.5046222810111699
R1385E,intracranial,FR1,0.5453716661267682
R1386T,intracranial,FR1,0.4012037037037037
R1387E,intracranial,FR1,0.5723311546840959
R1390M,intracranial,FR1,0.6709201388888889
R1391T,intracranial,FR1,0.4624943310657596
R1393T,intracranial,FR1,0.525
R1394E,intracranial,FR1,0.5549619708994709
R1395M,intracranial,FR1,0.4815721304394774
R1396T,intracranial,FR1,0.6291666666666667
R1397D,intracranial,FR1,0.4629270186335404
R1398J,intracranial,FR1,0.5412437996031746
R1401J,intracranial,FR1,0.6197089947089947
R1402E,intracranial,FR1,0.37674792139077845
R1404E,intracranial,FR1,0.5503383190883191
R1405E,intracranial,FR1,0.5060185185185185
R1406M,intracranial,FR1,0.49333333333333335
R1409D,intracranial,FR1,0.45575048732943474
R1412M,intracranial,FR1,0.6432098765432098
R1413D,intracranial,FR1,0.516449074074074
R1414E,intracranial,FR1,0.5113544973544973
R1415T,intracranial,FR1,0.513506531084656
R1416T,intracranial,FR1,0.5594787157287158
R1420T,intracranial,FR1,0.6399305555555556
R1421M,intracranial,FR1,0.6293650793650792
R1422T,intracranial,FR1,0.5009742063492063
R1423E,intracranial,FR1,0.5050411522633744
R1425D,intracranial,FR1,0.5514054297518094
R1427T,intracranial,FR1,0.525302285897524
R1428T,intracranial,FR1,0.6537037037037037
R1431J,intracranial,FR1,0.4217502405002405
R1433E,intracranial,FR1,0.5236111111111111
R1436J,intracranial,FR1,0.7227513227513228
R1438M,intracranial,FR1,0.5813775510204081
R1441T,intracranial,FR1,0.5116661155202822
R1443D,intracranial,FR1,0.5545267489711934
