subject,exp_type,experiment,r_pcs
LTP355,scalp,ltpFR2,0.439189777290557
LTP356,scalp,ltpFR2,0.3956667145516567
LTP357,scalp,ltpFR2,0.4283697275936566
LTP358,scalp,ltpFR2,0.3703705205810304
LTP359,scalp,ltpFR2,0.30138227464156414
LTP360,scalp,ltpFR2,0.3151781809301961
LTP361,scalp,ltpFR2,0.41929822035888403
LTP362,scalp,ltpFR2,0.4211103767886858
LTP363,scalp,ltpFR2,0.2824447762232773
LTP364,scalp,ltpFR2,0.33485346086553824
LTP365,scalp,ltpFR2,0.4211972533490957
LTP366,scalp,ltpFR2,0.47329365423117975
LTP367,scalp,ltpFR2,0.3331106038859438
LTP368,scalp,ltpFR2,0.6959281530407073
LTP369,scalp,ltpFR2,0.40418317023279987
LTP370,scalp,ltpFR2,0.37299254565089335
LTP371,scalp,ltpFR2,0.34655384817316365
LTP372,scalp,ltpFR2,0.36281381248390415
LTP373,scalp,ltpFR2,0.3415577452924106
LTP374,scalp,ltpFR2,0.42088727481295274
LTP375,scalp,ltpFR2,0.28241271030303616
LTP376,scalp,ltpFR2,0.38987088251306223
LTP377,scalp,ltpFR2,0.48001353440427513
LTP378,scalp,ltpFR2,0.4781762153341433
LTP379,scalp,ltpFR2,0.24800615865139009
LTP381,scalp,ltpFR2,0.48036879489787965
LTP382,scalp,ltpFR2,0.5227778473513469
LTP383,scalp,ltpFR2,0.33107777205319977
LTP384,scalp,ltpFR2,0.325891521155966
LTP385,scalp,ltpFR2,0.3725491238375659
LTP386,scalp,ltpFR2,0.351095011536593
LTP387,scalp,ltpFR2,0.3663810988609203
LTP388,scalp,ltpFR2,0.4264383266267737
LTP389,scalp,ltpFR2,0.3983415032236774
LTP390,scalp,ltpFR2,0.4880649177248024
LTP391,scalp,ltpFR2,0.457869021310098
LTP392,scalp,ltpFR2,0.347653569829457
LTP393,scalp,ltpFR2,0.3998272851831039
R1001P,intracranial,FR1,0.4031393974794636
R1002P,intracranial,FR1,0.40109792300342584
R1003P,intracranial,FR1,0.39298384400799363
R1006P,intracranial,FR1,0.5886481207876064
R1010J,intracranial,FR1,0.7285522335070445
R1018P,intracranial,FR1,0.12733396805165897
R1020J,intracranial,FR1,0.45746048692192115
R1022J,intracranial,FR1,0.7557105622077002
R1023J,intracranial,FR1,0.43256730720648856
R1026D,intracranial,FR1,0.6574428746671332
R1027J,intracranial,FR1,-0.07246055766540016
R1030J,intracranial,FR1,0.3680420797486834
R1030J,intracranial,IFR1,0.4853841916648114
R1031M,intracranial,FR1,0.5288043246188271
R1032D,intracranial,FR1,0.4383769990703734
R1033D,intracranial,FR1,0.2814821253408743
R1034D,intracranial,FR1,0.2580854858494004
R1035M,intracranial,FR1,0.10464629534013278
R1036M,intracranial,FR1,0.8545310385605682
